serial,timestamp,gameid,value,,,
0,"Date:  Wed, 01 Jan 2020 00:00:07 GMT6 months ago",Game #2699754, 2x,,,
1,"Date:  Wed, 01 Jan 2020 00:00:25 GMT6 months ago",Game #2699755, 1.16x,,,
2,"Date:  Wed, 01 Jan 2020 00:00:36 GMT6 months ago",Game #2699756, 2.27x,,,
3,"Date:  Wed, 01 Jan 2020 00:00:56 GMT6 months ago",Game #2699757, 1x,,,
4,"Date:  Wed, 01 Jan 2020 00:01:04 GMT6 months ago",Game #2699758, 4.85x,,,
5,"Date:  Wed, 01 Jan 2020 00:01:35 GMT6 months ago",Game #2699759, 1.65x,,,
6,"Date:  Wed, 01 Jan 2020 00:01:50 GMT6 months ago",Game #2699760, 1.74x,,,
7,"Date:  Wed, 01 Jan 2020 00:02:07 GMT6 months ago",Game #2699761, 4.74x,,,
8,"Date:  Wed, 01 Jan 2020 00:02:37 GMT6 months ago",Game #2699762, 9.88x,,,
9,"Date:  Wed, 01 Jan 2020 00:03:19 GMT6 months ago",Game #2699763, 1.91x,,,
10,"Date:  Wed, 01 Jan 2020 00:03:36 GMT6 months ago",Game #2699764, 7.73x,,,
11,"Date:  Wed, 01 Jan 2020 00:04:14 GMT6 months ago",Game #2699765, 5.76x,,,
12,"Date:  Wed, 01 Jan 2020 00:04:47 GMT6 months ago",Game #2699766, 11.22x,,,
13,"Date:  Wed, 01 Jan 2020 00:05:30 GMT6 months ago",Game #2699767, 52.14x,,,
14,"Date:  Wed, 01 Jan 2020 00:06:36 GMT6 months ago",Game #2699768, 3.14x,,,
15,"Date:  Wed, 01 Jan 2020 00:07:00 GMT6 months ago",Game #2699769, 1.26x,,,
16,"Date:  Wed, 01 Jan 2020 00:07:12 GMT6 months ago",Game #2699770, 1.33x,,,
17,"Date:  Wed, 01 Jan 2020 00:07:24 GMT6 months ago",Game #2699771, 1.05x,,,
18,"Date:  Wed, 01 Jan 2020 00:07:33 GMT6 months ago",Game #2699772, 11.15x,,,
19,"Date:  Wed, 01 Jan 2020 00:08:16 GMT6 months ago",Game #2699773, 1.77x,,,
20,"Date:  Wed, 01 Jan 2020 00:08:33 GMT6 months ago",Game #2699774, 1.26x,,,
21,"Date:  Wed, 01 Jan 2020 00:08:45 GMT6 months ago",Game #2699775, 1.08x,,,
22,"Date:  Wed, 01 Jan 2020 00:08:54 GMT6 months ago",Game #2699776, 1.94x,,,
23,"Date:  Wed, 01 Jan 2020 00:09:12 GMT6 months ago",Game #2699777, 9.71x,,,
24,"Date:  Wed, 01 Jan 2020 00:09:53 GMT6 months ago",Game #2699778, 2.28x,,,
25,"Date:  Wed, 01 Jan 2020 00:10:13 GMT6 months ago",Game #2699779, 1.82x,,,
26,"Date:  Wed, 01 Jan 2020 00:10:30 GMT6 months ago",Game #2699780, 3.69x,,,
27,"Date:  Wed, 01 Jan 2020 00:10:57 GMT6 months ago",Game #2699781, 1.86x,,,
28,"Date:  Wed, 01 Jan 2020 00:11:14 GMT6 months ago",Game #2699782, 3.76x,,,
29,"Date:  Wed, 01 Jan 2020 00:11:42 GMT6 months ago",Game #2699783, 1.08x,,,
30,"Date:  Wed, 01 Jan 2020 00:11:51 GMT6 months ago",Game #2699784, 6.38x,,,
31,"Date:  Wed, 01 Jan 2020 00:12:26 GMT6 months ago",Game #2699785, 1.32x,,,
32,"Date:  Wed, 01 Jan 2020 00:12:38 GMT6 months ago",Game #2699786, 1.35x,,,
33,"Date:  Wed, 01 Jan 2020 00:12:51 GMT6 months ago",Game #2699787, 2.11x,,,
34,"Date:  Wed, 01 Jan 2020 00:13:10 GMT6 months ago",Game #2699788, 2.18x,,,
35,"Date:  Wed, 01 Jan 2020 00:13:29 GMT6 months ago",Game #2699789, 1.91x,,,
36,"Date:  Wed, 01 Jan 2020 00:13:47 GMT6 months ago",Game #2699790, 1.55x,,,
37,"Date:  Wed, 01 Jan 2020 00:14:02 GMT6 months ago",Game #2699791, 1.94x,,,
38,"Date:  Wed, 01 Jan 2020 00:14:20 GMT6 months ago",Game #2699792, 5.24x,,,
39,"Date:  Wed, 01 Jan 2020 00:14:52 GMT6 months ago",Game #2699793, 137.53x,,,
40,"Date:  Wed, 01 Jan 2020 00:16:11 GMT6 months ago",Game #2699794, 1.8x,,,
41,"Date:  Wed, 01 Jan 2020 00:16:28 GMT6 months ago",Game #2699795, 1.18x,,,
42,"Date:  Wed, 01 Jan 2020 00:16:38 GMT6 months ago",Game #2699796, 13.76x,,,
43,"Date:  Wed, 01 Jan 2020 00:17:24 GMT6 months ago",Game #2699797, 2.1x,,,
44,"Date:  Wed, 01 Jan 2020 00:17:43 GMT6 months ago",Game #2699798, 3.49x,,,
45,"Date:  Wed, 01 Jan 2020 00:18:10 GMT6 months ago",Game #2699799, 1.25x,,,
46,"Date:  Wed, 01 Jan 2020 00:18:21 GMT6 months ago",Game #2699800, 1.03x,,,
47,"Date:  Wed, 01 Jan 2020 00:18:30 GMT6 months ago",Game #2699801, 4.14x,,,
48,"Date:  Wed, 01 Jan 2020 00:18:59 GMT6 months ago",Game #2699802, 1.56x,,,
49,"Date:  Wed, 01 Jan 2020 00:19:14 GMT6 months ago",Game #2699803, 4.01x,,,
50,"Date:  Wed, 01 Jan 2020 00:19:42 GMT6 months ago",Game #2699804, 1x,,,
51,"Date:  Wed, 01 Jan 2020 00:19:50 GMT6 months ago",Game #2699805, 4.4x,,,
